x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4,bluetooch5,bluetooch6
19,17,19x17y,-104.1645,-93.6564,-84.3251,-84.8749,-88.8143,-69.1149
19,17,19x17y,-107.6919,-100.9847,-88.7688,-82.984,-92.3484,-70.3725
19,17,19x17y,-97.0421,-95.6337,-86.8663,-87.4252,-87.1474,-71.4827
19,17,19x17y,-93.232,-97.1325,-91.7263,-81.8996,-88.7829,-73.1614
19,18,19x18y,-103.9987,-101.6026,-84.3915,-84.2839,-83.1113,-72.9666
19,18,19x18y,-106.0697,-90.3287,-89.7978,-85.5588,-90.1424,-76.0802
19,18,19x18y,-96.358,-101.7008,-85.982,-88.1789,-87.1895,-70.1077
19,18,19x18y,-94.9919,-89.6083,-84.0524,-84.619,-93.571,-73.7599
19,18,19x18y,-97.0769,-97.8379,-90.6562,-85.2075,-95.8172,-71.9278
19,19,19x19y,-95.6282,-93.4294,-87.0665,-83.9916,-91.8997,-79.3521
19,19,19x19y,-102.804,-95.1706,-84.2684,-86.9927,-85.7796,-78.7273
19,19,19x19y,-105.6641,-95.5291,-90.5457,-82.548,-89.9357,-78.9037
19,19,19x19y,-98.8261,-91.0703,-85.3161,-93.1011,-94.3777,-76.5202
19,19,19x19y,-99.316,-94.8532,-88.1913,-94.1404,-92.7986,-73.8482
