x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4
5,6,5x6y,-83.9445,-16.2887,-79.8927,-80.1562
5,6,5x6y,-82.0038,-79.1203,-78.0115,-78.4368
5,6,5x6y,-47.2113,-73.6814,-80.1166,-78.6502
5,6,5x6y,-82.0717,-75.1483,-81.0362,-43.1447
5,6,5x6y,-81.7499,-81.7373,-83.3824,-74.1874
5,7,5x7y,-45.6518,-15.1872,-52.3408,-78.0193
5,7,5x7y,-80.1433,-77.7601,-86.7903,-45.1426
5,7,5x7y,-52.4955,-76.3227,-81.7578,-74.4798
5,7,5x7y,-82.2902,-78.4388,-77.0989,-73.4392
5,7,5x7y,-82.5464,-75.0007,-84.8681,-73.7075
5,8,5x8y,-87.933,-72.6515,-85.8889,-74.6563
5,8,5x8y,-48.6719,-76.9112,-88.9003,-79.1754
5,8,5x8y,-79.0017,-15.0952,-80.4509,-43.2842
5,8,5x8y,-84.35,-73.663,-79.9007,-79.2013
5,8,5x8y,-86.4753,-76.2879,-84.9075,-77.2989
5,9,5x9y,-16.4219,-75.5738,-54.2839,-78.4378
5,9,5x9y,-85.0566,-71.1534,-85.1689,-14.7739
5,9,5x9y,-90.3242,-76.0766,-86.7816,-72.1022
5,9,5x9y,-83.5101,-69.3193,-82.6348,-71.5946
5,9,5x9y,-89.7274,-74.07,-16.615,-13.9295
6,0,6x0y,-77.4116,-88.1176,-13.1429,-82.4451
6,0,6x0y,-71.0939,-18.1423,-69.2189,-85.8601
6,0,6x0y,-74.6253,-83.2601,-42.6542,-88.7196
6,0,6x0y,-78.9405,-15.6465,-70.768,-87.1834
6,0,6x0y,-47.1848,-52.536,-71.2726,-83.9938
6,1,6x1y,-76.4895,-51.0016,-72.6469,-86.7418
6,1,6x1y,-74.9308,-84.5665,-73.0972,-17.6112
6,1,6x1y,-76.7452,-84.064,-65.5545,-80.7491
6,1,6x1y,-76.6838,-51.022,-71.5644,-83.525
6,1,6x1y,-75.5546,-52.962,-66.67,-87.9189
6,2,6x2y,-15.3934,-88.0872,-69.341,-82.7453
6,2,6x2y,-76.6559,-82.4419,-72.812,-84.0113
6,2,6x2y,-76.9512,-78.7484,-73.738,-83.6913
6,2,6x2y,-77.8128,-78.6784,-72.25,-80.5012
6,2,6x2y,-46.6061,-79.8637,-74.5434,-79.6862
6,3,6x3y,-77.1003,-82.5048,-74.6083,-80.4099
6,3,6x3y,-79.2525,-88.6507,-68.9285,-82.9233
6,3,6x3y,-78.9296,-84.1267,-70.3149,-75.6367
6,3,6x3y,-78.5466,-81.3974,-14.4821,-77.7424
6,3,6x3y,-45.6308,-81.7654,-74.5321,-82.3925
6,4,6x4y,-72.8361,-50.667,-74.1784,-80.0693
6,4,6x4y,-84.3457,-79.2921,-73.8263,-79.9366
6,4,6x4y,-79.928,-79.9384,-71.5699,-82.8548
6,4,6x4y,-82.0949,-17.1338,-73.41,-82.1764
6,4,6x4y,-79.5901,-82.8349,-73.3347,-76.7357
6,5,6x5y,-83.7876,-79.9985,-76.1519,-75.8414
6,5,6x5y,-83.3348,-81.4758,-77.5234,-15.5479
6,5,6x5y,-76.7829,-79.7367,-76.4247,-43.8135
6,5,6x5y,-78.7668,-80.9327,-74.7688,-46.2394
6,5,6x5y,-48.0444,-75.9432,-74.4903,-79.0181
6,6,6x6y,-77.3634,-79.1524,-78.8187,-71.6405
6,6,6x6y,-80.0284,-16.0352,-82.8448,-74.9317
6,6,6x6y,-48.2867,-81.3634,-77.6688,-14.114
6,6,6x6y,-83.0895,-15.3981,-82.0507,-15.747
6,6,6x6y,-81.9909,-81.1733,-80.4211,-77.6469
6,7,6x7y,-87.1461,-79.3139,-81.869,-71.5623
6,7,6x7y,-79.0925,-80.9472,-84.3634,-74.8005
6,7,6x7y,-81.2488,-77.6961,-77.4722,-68.99
6,7,6x7y,-81.7311,-74.3134,-15.487,-76.6924
6,7,6x7y,-84.6564,-80.6304,-80.8552,-67.5216
6,8,6x8y,-83.8639,-76.4195,-79.7288,-70.8397
6,8,6x8y,-88.0015,-76.6083,-86.0318,-44.3974
6,8,6x8y,-88.466,-75.441,-78.1998,-69.1912
6,8,6x8y,-81.5778,-72.4311,-14.6234,-69.6491
6,8,6x8y,-88.4961,-12.8165,-78.2571,-68.4084
6,9,6x9y,-16.2387,-75.6853,-89.1767,-69.0278
6,9,6x9y,-83.473,-45.7093,-87.1688,-68.9628
6,9,6x9y,-88.6613,-16.8424,-86.3413,-14.7943
6,9,6x9y,-78.8132,-75.4373,-87.7129,-71.5949
6,9,6x9y,-87.2134,-77.1147,-81.508,-72.5371
7,0,7x0y,-80.0888,-52.3308,-66.5999,-83.6152
7,0,7x0y,-79.7593,-88.791,-67.1543,-85.0988
7,0,7x0y,-79.4571,-92.6756,-63.1233,-51.7596
7,0,7x0y,-75.002,-87.1554,-36.2515,-87.9696
7,0,7x0y,-81.3792,-84.553,-65.2774,-84.8965
7,1,7x1y,-75.8174,-82.9229,-39.0498,-78.4435
7,1,7x1y,-74.1022,-83.7466,-66.1468,-48.8294
7,1,7x1y,-81.8643,-81.0451,-66.6082,-81.7375
7,1,7x1y,-79.683,-91.2724,-38.5087,-82.6776
7,1,7x1y,-77.2651,-84.8896,-64.2887,-83.126
7,2,7x2y,-47.5872,-84.7784,-67.7251,-82.4516
7,2,7x2y,-81.7653,-87.3386,-67.2849,-80.0153
7,2,7x2y,-81.8307,-50.0032,-68.4237,-84.6685
7,2,7x2y,-15.5033,-87.0766,-67.2062,-15.2648
7,2,7x2y,-79.1479,-81.8345,-68.6861,-88.949
7,3,7x3y,-78.3046,-81.5172,-70.613,-82.9262
7,3,7x3y,-79.9973,-89.2736,-66.9003,-79.5182
7,3,7x3y,-78.0438,-52.3561,-13.5002,-85.7378
7,3,7x3y,-80.9679,-88.1835,-75.4481,-17.7685
7,3,7x3y,-81.5735,-81.0003,-74.7991,-84.307
7,4,7x4y,-80.4387,-82.7415,-43.2809,-15.338
7,4,7x4y,-80.014,-86.1296,-73.7774,-78.2535
7,4,7x4y,-85.7154,-87.2525,-43.6913,-16.4903
7,4,7x4y,-83.4221,-82.6919,-74.5293,-75.6584
7,4,7x4y,-77.7317,-82.4136,-73.5006,-84.7741
7,5,7x5y,-81.899,-81.1994,-75.0059,-70.9727
7,5,7x5y,-76.135,-77.1907,-80.4657,-77.8767
7,5,7x5y,-83.0857,-87.8565,-71.7445,-76.5212
7,5,7x5y,-15.0549,-86.02,-41.1797,-14.5677
7,5,7x5y,-76.312,-82.6497,-80.2486,-46.3984
7,6,7x6y,-16.8136,-77.6413,-74.7151,-71.9697
7,6,7x6y,-84.0909,-84.3558,-77.2493,-74.5181
7,6,7x6y,-79.8574,-16.6036,-82.4772,-75.3364
7,6,7x6y,-81.1888,-83.9006,-76.571,-76.5726
7,6,7x6y,-79.2647,-80.3402,-75.6424,-73.9548
7,7,7x7y,-77.6627,-84.3312,-81.8542,-70.0258
7,7,7x7y,-80.1361,-76.2551,-77.6924,-74.1744
7,7,7x7y,-88.4623,-82.6824,-13.9971,-72.1421
7,7,7x7y,-89.915,-80.1051,-79.6834,-72.5044
7,7,7x7y,-87.2458,-86.4139,-85.0809,-69.3101
7,8,7x8y,-52.5317,-84.7621,-81.6772,-66.8065
7,8,7x8y,-82.9489,-77.6418,-76.7365,-69.5569
7,8,7x8y,-16.647,-78.2643,-77.912,-70.0002
7,8,7x8y,-86.7671,-80.7993,-81.453,-41.8192
7,8,7x8y,-85.3935,-74.1454,-82.1616,-41.9619
7,9,7x9y,-84.6942,-80.4418,-79.073,-65.1224
7,9,7x9y,-88.0589,-74.4681,-85.9975,-13.2075
7,9,7x9y,-85.0657,-83.0229,-80.9956,-37.6139
7,9,7x9y,-84.3857,-82.8987,-82.2859,-63.0989
7,9,7x9y,-86.4153,-77.3403,-80.1482,-65.1264
8,0,8x0y,-79.6812,-84.5102,-34.9753,-91.3761
8,0,8x0y,-17.2787,-83.8375,-57.6487,-87.6513
8,0,8x0y,-78.6447,-93.0453,-57.122,-82.2793
8,0,8x0y,-17.7488,-86.7966,-58.6036,-88.8675
8,0,8x0y,-14.6833,-94.1007,-61.5506,-84.2447
8,1,8x1y,-75.6507,-86.63,-61.8777,-86.6871
8,1,8x1y,-84.8545,-89.3625,-61.6786,-78.9477
8,1,8x1y,-51.3436,-83.8207,-36.0801,-82.9235
8,1,8x1y,-16.7378,-91.5661,-62.9975,-89.246
8,1,8x1y,-82.7443,-87.2226,-35.6984,-81.0554
